Po1,Ineq,Ed,M,Prob,U2,GDP,Pop,U1,M_F,Po2,NW,LF,Time,So,y
58,261,91,151,0.084602,41,394,33,108,950,56,301,510,26.2011,1,791
103,194,113,143,0.029599,36,557,13,96,1012,95,102,583,25.2999,0,1635
45,250,89,142,0.083401,33,318,18,94,969,44,219,533,24.3006,1,578
149,167,121,136,0.015801,39,673,157,102,994,141,80,577,29.9012,0,1969
109,174,121,141,0.041399,20,578,18,91,985,101,30,591,21.2998,0,1234
118,126,110,121,0.034201,29,689,25,84,964,115,44,547,20.9995,0,682
82,168,111,127,0.0421,38,620,4,97,982,79,139,519,20.6993,1,963
115,206,109,131,0.040099,35,472,50,79,969,109,179,542,24.5988,1,1555
65,239,90,157,0.071697,28,421,39,81,955,62,286,553,29.4001,1,856
71,174,118,140,0.044498,24,526,7,100,1029,68,15,632,19.5994,0,705
121,170,105,124,0.016201,35,657,101,77,966,116,106,580,41.6,0,1674
75,172,108,134,0.031201,31,580,47,83,972,71,59,595,34.2984,0,849
67,206,113,128,0.045302,25,507,28,77,972,60,10,624,36.2993,0,511
62,190,117,135,0.0532,27,529,22,77,986,61,46,595,21.501,0,664
57,264,87,152,0.0691,43,405,30,92,986,53,72,530,22.7008,1,798
81,247,88,142,0.052099,47,427,33,116,956,77,321,497,26.0991,1,946
66,166,110,143,0.076299,35,487,10,114,977,63,6,537,19.1002,0,539
123,165,104,135,0.119804,34,631,31,89,978,115,170,537,18.1996,1,929
128,135,116,130,0.019099,34,627,51,78,934,128,24,536,24.9008,0,750
113,166,108,125,0.034801,58,626,78,130,985,105,94,567,26.401,0,1225
74,195,108,126,0.0228,33,557,34,102,984,67,12,602,37.5998,0,742
47,276,89,157,0.089502,34,288,22,97,962,44,423,512,37.0994,1,439
87,227,96,132,0.0307,32,513,43,83,953,83,92,564,25.1989,0,1216
78,176,116,131,0.041598,42,540,7,142,1038,73,36,574,17.6,0,968
63,196,116,130,0.069197,21,486,14,70,984,57,26,641,21.9003,0,523
160,152,121,131,0.041698,41,674,3,102,1071,143,77,631,22.1005,0,1993
69,139,109,135,0.036099,22,564,6,80,965,71,4,540,28.4999,0,342
82,215,112,152,0.038201,28,537,10,103,1018,76,79,571,25.8006,0,1216
166,154,107,119,0.0234,36,637,168,92,938,157,89,521,36.7009,0,1043
58,237,89,166,0.075298,26,396,46,72,973,54,254,521,28.3011,1,696
55,200,93,140,0.041999,40,453,6,135,1045,54,20,535,21.7998,0,373
90,163,109,125,0.042698,43,617,97,105,964,81,82,586,30.9014,0,754
63,233,104,147,0.049499,24,462,23,76,972,64,95,560,25.5005,1,1072
97,166,118,126,0.040799,35,589,18,102,990,97,21,542,21.6997,0,923
97,158,102,123,0.0207,50,572,113,124,948,87,76,526,37.4011,0,653
109,153,100,150,0.0069,38,559,9,87,964,98,24,531,44.0004,0,1272
58,254,87,177,0.045198,28,382,24,76,974,56,349,638,31.6995,1,831
51,225,104,133,0.053998,27,425,7,99,1024,47,40,599,16.6999,0,566
61,251,88,149,0.047099,35,395,36,86,953,54,165,515,27.3004,1,826
82,228,104,145,0.038801,31,488,96,88,981,74,126,560,29.3004,1,1151
72,144,122,148,0.0251,20,590,9,84,998,66,19,601,30.0001,0,880
56,170,109,141,0.088904,37,489,4,107,968,54,2,523,12.1996,0,542
75,224,99,162,0.054902,27,496,40,73,996,70,208,522,31.9989,1,823
95,162,121,136,0.0281,37,622,29,111,1012,96,36,574,30.0001,0,1030
46,249,88,139,0.056202,53,457,19,135,968,41,49,480,32.5996,1,455
106,171,104,126,0.046598,25,593,40,78,989,97,24,599,16.6999,0,508
90,160,121,130,0.052802,40,588,3,113,1049,91,22,623,16.0997,0,849
