wt,cyl,hp,am,qsec,disp,drat,gear,carb,vs,y
2.62,6,110,1,16.46,160,3.9,4,4,0,21
2.875,6,110,1,17.02,160,3.9,4,4,0,21
2.32,4,93,1,18.61,108,3.85,4,1,1,22.8
3.215,6,110,0,19.44,258,3.08,3,1,1,21.4
3.44,8,175,0,17.02,360,3.15,3,2,0,18.7
3.46,6,105,0,20.22,225,2.76,3,1,1,18.1
3.57,8,245,0,15.84,360,3.21,3,4,0,14.3
3.19,4,62,0,20,146.7,3.69,4,2,1,24.4
3.15,4,95,0,22.9,140.8,3.92,4,2,1,22.8
3.44,6,123,0,18.3,167.6,3.92,4,4,1,19.2
3.44,6,123,0,18.9,167.6,3.92,4,4,1,17.8
4.07,8,180,0,17.4,275.8,3.07,3,3,0,16.4
3.73,8,180,0,17.6,275.8,3.07,3,3,0,17.3
3.78,8,180,0,18,275.8,3.07,3,3,0,15.2
5.25,8,205,0,17.98,472,2.93,3,4,0,10.4
5.424,8,215,0,17.82,460,3,3,4,0,10.4
5.345,8,230,0,17.42,440,3.23,3,4,0,14.7
2.2,4,66,1,19.47,78.7,4.08,4,1,1,32.4
1.615,4,52,1,18.52,75.7,4.93,4,2,1,30.4
1.835,4,65,1,19.9,71.1,4.22,4,1,1,33.9
2.465,4,97,0,20.01,120.1,3.7,3,1,1,21.5
3.52,8,150,0,16.87,318,2.76,3,2,0,15.5
3.435,8,150,0,17.3,304,3.15,3,2,0,15.2
3.84,8,245,0,15.41,350,3.73,3,4,0,13.3
3.845,8,175,0,17.05,400,3.08,3,2,0,19.2
1.935,4,66,1,18.9,79,4.08,4,1,1,27.3
2.14,4,91,1,16.7,120.3,4.43,5,2,0,26
1.513,4,113,1,16.9,95.1,3.77,5,2,1,30.4
3.17,8,264,1,14.5,351,4.22,5,4,0,15.8
2.77,6,175,1,15.5,145,3.62,5,6,0,19.7
3.57,8,335,1,14.6,301,3.54,5,8,0,15
2.78,4,109,1,18.6,121,4.11,4,2,1,21.4
